x1,x2,x3,x4,x5,y
800.0,0.0,0.3048,71.3,0.00266337,0.0
1000.0,0.0,0.3048,71.3,0.00266337,1.0
1250.0,0.0,0.3048,71.3,0.00266337,1.0
1600.0,0.0,0.3048,71.3,0.00266337,0.0
2000.0,0.0,0.3048,71.3,0.00266337,0.0
2500.0,0.0,0.3048,71.3,0.00266337,1.0
3150.0,0.0,0.3048,71.3,0.00266337,1.0
4000.0,0.0,0.3048,71.3,0.00266337,1.0
5000.0,0.0,0.3048,71.3,0.00266337,1.0
6300.0,0.0,0.3048,71.3,0.00266337,1.0
8000.0,0.0,0.3048,71.3,0.00266337,1.0
10000.0,0.0,0.3048,71.3,0.00266337,1.0
12500.0,0.0,0.3048,71.3,0.00266337,1.0
16000.0,0.0,0.3048,71.3,0.00266337,1.0
500.0,0.0,0.3048,55.5,0.00283081,0.0
630.0,0.0,0.3048,55.5,0.00283081,0.0
800.0,0.0,0.3048,55.5,0.00283081,0.0
1000.0,0.0,0.3048,55.5,0.00283081,0.0
1250.0,0.0,0.3048,55.5,0.00283081,0.0
1600.0,0.0,0.3048,55.5,0.00283081,0.0
2000.0,0.0,0.3048,55.5,0.00283081,0.0
2500.0,0.0,0.3048,55.5,0.00283081,1.0
3150.0,0.0,0.3048,55.5,0.00283081,1.0
4000.0,0.0,0.3048,55.5,0.00283081,1.0
5000.0,0.0,0.3048,55.5,0.00283081,1.0
6300.0,0.0,0.3048,55.5,0.00283081,1.0
8000.0,0.0,0.3048,55.5,0.00283081,1.0
10000.0,0.0,0.3048,55.5,0.00283081,1.0
12500.0,0.0,0.3048,55.5,0.00283081,1.0
200.0,0.0,0.3048,39.6,0.00310138,1.0
250.0,0.0,0.3048,39.6,0.00310138,1.0
315.0,0.0,0.3048,39.6,0.00310138,1.0
400.0,0.0,0.3048,39.6,0.00310138,1.0
500.0,0.0,0.3048,39.6,0.00310138,0.0
630.0,0.0,0.3048,39.6,0.00310138,0.0
800.0,0.0,0.3048,39.6,0.00310138,0.0
1000.0,0.0,0.3048,39.6,0.00310138,0.0
1250.0,0.0,0.3048,39.6,0.00310138,1.0
1600.0,0.0,0.3048,39.6,0.00310138,1.0
2000.0,0.0,0.3048,39.6,0.00310138,1.0
2500.0,0.0,0.3048,39.6,0.00310138,1.0
3150.0,0.0,0.3048,39.6,0.00310138,1.0
4000.0,0.0,0.3048,39.6,0.00310138,1.0
5000.0,0.0,0.3048,39.6,0.00310138,1.0
6300.0,0.0,0.3048,39.6,0.00310138,1.0
8000.0,0.0,0.3048,39.6,0.00310138,1.0
10000.0,0.0,0.3048,39.6,0.00310138,1.0
12500.0,0.0,0.3048,39.6,0.00310138,1.0
200.0,0.0,0.3048,31.7,0.00331266,1.0
250.0,0.0,0.3048,31.7,0.00331266,1.0
315.0,0.0,0.3048,31.7,0.00331266,1.0
400.0,0.0,0.3048,31.7,0.00331266,1.0
500.0,0.0,0.3048,31.7,0.00331266,0.0
630.0,0.0,0.3048,31.7,0.00331266,0.0
800.0,0.0,0.3048,31.7,0.00331266,0.0
1000.0,0.0,0.3048,31.7,0.00331266,0.0
1250.0,0.0,0.3048,31.7,0.00331266,1.0
1600.0,0.0,0.3048,31.7,0.00331266,1.0
2000.0,0.0,0.3048,31.7,0.00331266,1.0
2500.0,0.0,0.3048,31.7,0.00331266,1.0
3150.0,0.0,0.3048,31.7,0.00331266,1.0
4000.0,0.0,0.3048,31.7,0.00331266,1.0
5000.0,0.0,0.3048,31.7,0.00331266,1.0
6300.0,0.0,0.3048,31.7,0.00331266,1.0
8000.0,0.0,0.3048,31.7,0.00331266,1.0
10000.0,0.0,0.3048,31.7,0.00331266,1.0
800.0,1.5,0.3048,71.3,0.00336729,0.0
1000.0,1.5,0.3048,71.3,0.00336729,1.0
1250.0,1.5,0.3048,71.3,0.00336729,1.0
1600.0,1.5,0.3048,71.3,0.00336729,0.0
2000.0,1.5,0.3048,71.3,0.00336729,0.0
2500.0,1.5,0.3048,71.3,0.00336729,1.0
3150.0,1.5,0.3048,71.3,0.00336729,1.0
4000.0,1.5,0.3048,71.3,0.00336729,1.0
5000.0,1.5,0.3048,71.3,0.00336729,1.0
6300.0,1.5,0.3048,71.3,0.00336729,1.0
8000.0,1.5,0.3048,71.3,0.00336729,1.0
10000.0,1.5,0.3048,71.3,0.00336729,1.0
12500.0,1.5,0.3048,71.3,0.00336729,1.0
16000.0,1.5,0.3048,71.3,0.00336729,1.0
315.0,1.5,0.3048,39.6,0.00392107,1.0
400.0,1.5,0.3048,39.6,0.00392107,1.0
500.0,1.5,0.3048,39.6,0.00392107,0.0
630.0,1.5,0.3048,39.6,0.00392107,0.0
800.0,1.5,0.3048,39.6,0.00392107,0.0
1000.0,1.5,0.3048,39.6,0.00392107,0.0
1250.0,1.5,0.3048,39.6,0.00392107,1.0
1600.0,1.5,0.3048,39.6,0.00392107,1.0
2000.0,1.5,0.3048,39.6,0.00392107,1.0
2500.0,1.5,0.3048,39.6,0.00392107,1.0
3150.0,1.5,0.3048,39.6,0.00392107,1.0
4000.0,1.5,0.3048,39.6,0.00392107,1.0
5000.0,1.5,0.3048,39.6,0.00392107,1.0
6300.0,1.5,0.3048,39.6,0.00392107,1.0
8000.0,1.5,0.3048,39.6,0.00392107,1.0
10000.0,1.5,0.3048,39.6,0.00392107,1.0
12500.0,1.5,0.3048,39.6,0.00392107,1.0
400.0,3.0,0.3048,71.3,0.00425727,0.0
500.0,3.0,0.3048,71.3,0.00425727,0.0
630.0,3.0,0.3048,71.3,0.00425727,0.0
800.0,3.0,0.3048,71.3,0.00425727,0.0
1000.0,3.0,0.3048,71.3,0.00425727,0.0
1250.0,3.0,0.3048,71.3,0.00425727,0.0
1600.0,3.0,0.3048,71.3,0.00425727,0.0
2000.0,3.0,0.3048,71.3,0.00425727,1.0
2500.0,3.0,0.3048,71.3,0.00425727,1.0
3150.0,3.0,0.3048,71.3,0.00425727,1.0
4000.0,3.0,0.3048,71.3,0.00425727,1.0
5000.0,3.0,0.3048,71.3,0.00425727,1.0
6300.0,3.0,0.3048,71.3,0.00425727,1.0
8000.0,3.0,0.3048,71.3,0.00425727,1.0
10000.0,3.0,0.3048,71.3,0.00425727,1.0
400.0,3.0,0.3048,55.5,0.00452492,0.0
500.0,3.0,0.3048,55.5,0.00452492,0.0
630.0,3.0,0.3048,55.5,0.00452492,0.0
800.0,3.0,0.3048,55.5,0.00452492,0.0
1000.0,3.0,0.3048,55.5,0.00452492,0.0
1250.0,3.0,0.3048,55.5,0.00452492,0.0
1600.0,3.0,0.3048,55.5,0.00452492,1.0
2000.0,3.0,0.3048,55.5,0.00452492,1.0
2500.0,3.0,0.3048,55.5,0.00452492,1.0
3150.0,3.0,0.3048,55.5,0.00452492,1.0
4000.0,3.0,0.3048,55.5,0.00452492,1.0
5000.0,3.0,0.3048,55.5,0.00452492,1.0
6300.0,3.0,0.3048,55.5,0.00452492,1.0
8000.0,3.0,0.3048,55.5,0.00452492,1.0
10000.0,3.0,0.3048,55.5,0.00452492,1.0
315.0,3.0,0.3048,39.6,0.00495741,1.0
400.0,3.0,0.3048,39.6,0.00495741,1.0
500.0,3.0,0.3048,39.6,0.00495741,0.0
630.0,3.0,0.3048,39.6,0.00495741,0.0
800.0,3.0,0.3048,39.6,0.00495741,0.0
1000.0,3.0,0.3048,39.6,0.00495741,0.0
1250.0,3.0,0.3048,39.6,0.00495741,1.0
1600.0,3.0,0.3048,39.6,0.00495741,1.0
2000.0,3.0,0.3048,39.6,0.00495741,1.0
2500.0,3.0,0.3048,39.6,0.00495741,1.0
3150.0,3.0,0.3048,39.6,0.00495741,1.0
4000.0,3.0,0.3048,39.6,0.00495741,1.0
5000.0,3.0,0.3048,39.6,0.00495741,1.0
6300.0,3.0,0.3048,39.6,0.00495741,1.0
8000.0,3.0,0.3048,39.6,0.00495741,1.0
315.0,3.0,0.3048,31.7,0.00529514,1.0
400.0,3.0,0.3048,31.7,0.00529514,1.0
500.0,3.0,0.3048,31.7,0.00529514,0.0
630.0,3.0,0.3048,31.7,0.00529514,0.0
800.0,3.0,0.3048,31.7,0.00529514,0.0
1000.0,3.0,0.3048,31.7,0.00529514,0.0
1250.0,3.0,0.3048,31.7,0.00529514,1.0
1600.0,3.0,0.3048,31.7,0.00529514,1.0
2000.0,3.0,0.3048,31.7,0.00529514,1.0
2500.0,3.0,0.3048,31.7,0.00529514,1.0
3150.0,3.0,0.3048,31.7,0.00529514,1.0
4000.0,3.0,0.3048,31.7,0.00529514,1.0
5000.0,3.0,0.3048,31.7,0.00529514,1.0
6300.0,3.0,0.3048,31.7,0.00529514,1.0
250.0,4.0,0.3048,71.3,0.00497773,0.0
315.0,4.0,0.3048,71.3,0.00497773,0.0
400.0,4.0,0.3048,71.3,0.00497773,0.0
500.0,4.0,0.3048,71.3,0.00497773,0.0
630.0,4.0,0.3048,71.3,0.00497773,0.0
800.0,4.0,0.3048,71.3,0.00497773,0.0
1000.0,4.0,0.3048,71.3,0.00497773,0.0
1250.0,4.0,0.3048,71.3,0.00497773,0.0
1600.0,4.0,0.3048,71.3,0.00497773,0.0
2000.0,4.0,0.3048,71.3,0.00497773,1.0
2500.0,4.0,0.3048,71.3,0.00497773,1.0
3150.0,4.0,0.3048,71.3,0.00497773,1.0
4000.0,4.0,0.3048,71.3,0.00497773,1.0
5000.0,4.0,0.3048,71.3,0.00497773,1.0
6300.0,4.0,0.3048,71.3,0.00497773,1.0
8000.0,4.0,0.3048,71.3,0.00497773,1.0
10000.0,4.0,0.3048,71.3,0.00497773,1.0
12500.0,4.0,0.3048,71.3,0.00497773,1.0
250.0,4.0,0.3048,39.6,0.00579636,1.0
315.0,4.0,0.3048,39.6,0.00579636,0.0
400.0,4.0,0.3048,39.6,0.00579636,0.0
500.0,4.0,0.3048,39.6,0.00579636,0.0
630.0,4.0,0.3048,39.6,0.00579636,0.0
800.0,4.0,0.3048,39.6,0.00579636,0.0
1000.0,4.0,0.3048,39.6,0.00579636,0.0
1250.0,4.0,0.3048,39.6,0.00579636,0.0
1600.0,4.0,0.3048,39.6,0.00579636,1.0
2000.0,4.0,0.3048,39.6,0.00579636,1.0
2500.0,4.0,0.3048,39.6,0.00579636,1.0
3150.0,4.0,0.3048,39.6,0.00579636,1.0
4000.0,4.0,0.3048,39.6,0.00579636,1.0
5000.0,4.0,0.3048,39.6,0.00579636,1.0
